"Freq","title"
0,"Destination Gobi (1953)"
0,"Down Twisted (1987)"
0,"Encore (1951)"
0,"Escape in the Fog (1945)"
0,"Esther and the King (1960)"
0,"Even Angels Eat Beans (1973)"
0,"Every Day's a Holiday (1937)"
0,"Everybody Has a Plan (2012)"
0,"Everyday Sunshine:  The Story of Fishbone (2010)"
0,"Ex-Lady (1933)"
0,"Exit to Hell (2013)"
0.01,"Exorcismus (2010)"
0,"Eye of the Hurricane (2012)"
0,"Eyeball (1975)"
0,"F.T.W. (1994)"
0,"Face of Fire (1959)"
0,"Face the Music (1993)"
0,"Falling Awake (2009)"
0.01,"Nick Offerman: American Ham (2014)"
0.01,"Lemon Tree Passage (2013)"
0,"Stormheart (2008)"
0.15,"Seventh Son (2014)"
0,"Gloss (2007)"
0,"A Nest of Gentry (1969)"
0,"The Story of Asya Klyachina (1966)"
0,"Out of the Ashes (2003)"
0,"The Amazing Howard Hughes (1977)"
0,"The Prophecy: Forsaken (2005)"
0,"National Gallery (2014)"
0.01,"7th Floor (2013)"
0,"Kiss Me in the Rain (1999)"
0,"Heatstroke (2013)"
0,"The Wait (2013)"
0,"Munger Road (2011)"
0,"Myn Bala: Warriors of the Steppe (2012)"
0,"Alyce Kills (2011)"
0,"Little Witches (1996)"
0.01,"The Haunting of Helena (2012)"
0,"Alice in Murderland (2010)"
0,"Elfie Hopkins: Cannibal Hunter (2012)"
0,"The Evictors (1979)"
0,"On the Ice (2011)"
0,"The Case of the Scorpion's Tail (1971)"
15.14,"Princess Bride, The (1987)"
0,"Let It Snow (2013)"
0,"Chasing Christmas (2005)"
0.01,"Piranhaconda (2012)"
0.01,"Corner Gas: The Movie (2014)"
0,"Charleston (1974)"
0,"Common (2014)"
0,"Woman of Antwerp (1948)"
0,"Love Without Pity (1989)"
0,"Ethel (2012)"
0,"Exit Smiling (1926)"
0,"Fanny (2013)"
0,"Fast and Loose (1939)"
0,"Fearless Frank (1967)"
0.01,"FernGully 2: The Magical Rescue (1998)"
0,"Fiesta (1947)"
0,"Fight for your Life (1977)"
0,"Fighting Mad (1976)"
0,"Filthy Gorgeous: The Bob Guccione Story (2013)"
0,"Final (2001)"
22.42,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
0,"Family Way (2012)"
0,"Miss Minoes (2001)"
0,"Crazy for Christmas (2005)"
0,"Arizona Colt Returns (1970)"
0,"Giovannona Long-Thigh (1973)"
0,"The Violent Professionals (1973)"
0,"High School Girl (1974)"
0,"Gambling City (1975)"
0,"Silent Action (1975)"
0,"The Suspicious Death of a Minor (1975)"
0,"Sex with a Smile (1976)"
0,"A Man Called Blade (1977)"
0,"The Mountain of the Cannibal God (1978)"
0,"Screamers (1979)"
0,"Saturday, Sunday and Friday (1979)"
0,"The Great Alligator (1979)"
0,"Wife on Vacation, Lover in Town (1980)"
0,"Sugar, Honey and Pepper (1980)"
0,"Cream Horn (1981)"
0,"Don't Play with Tigers (1982)"
0,"The Scorpion with Two Tails (1982)"
0,"If All Goes Well We Are Ruined (1983)"
0,"Acapulco, First Beach... To the Left (1983)"
0,"Half Right Half Left - Two Players Without the Ball (1985)"
0,"Hands of Steel (1986)"
0,"The Fishmen and Their Queen (1995)"
0,"Trainer on the Beach 2 (2008)"
0,"Solomon Northup's Odyssey (1984)"
0,"Class of '61 (1993)"
6.01,"Brazil (1985)"
0,"Sharpe's Gold (1995)"
0.01,"Sharpe's Battle (1995)"
0,"Sharpe's Sword (1995)"
0,"Sharpe's Eagle (1993)"
0,"Back to School with Franklin (2003)"
0,"The New Babylon (1929)"
0.01,"Let's Kill Ward's Wife (2014)"
0,"The Magnificent Trio (1966)"
0,"Force of Execution (2013)"
0,"Kaksparsh (2012)"
0.01,"A Merry Friggin' Christmas (2014)"
0.02,"Ask Me Anything (2014)"
0,"Three the Hard Way (1974)"
0,"Silent Night, Deadly Night 5: The Toy Maker (1991)"
0,"Santa Claus (1959)"
1.6,"Dracula: Dead and Loving It (1995)"
0.06,"Race the Sun (1996)"
12.21,"Aliens (1986)"
0,"Autobus (1991)"
0,"Fame High (2012)"
0,"Fatal Error (1999)"
0,"Final Chapter: Walking Tall (1977)"
0,"Final Justice (1998)"
0,"Fire with Fire (1986)"
0,"Fireball (2009)"
0,"First a Girl (1935)"
6.97,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
0,"Fishtales (2008)"
0,"Fitzwilly (1967)"
0,"Hotel Noir (2012)"
0.01,"Jauja (2014)"
0.01,"The Grump (2014)"
0,"Summertime (2014)"
0,"Boy Upside Down (2014)"
0,"The Forest (2012)"
0,"The Swedish Moment (2014)"
0,"Raspberry Boat Refugee (2014)"
0,"Girl, Positive (2007)"
0,"Beauty Day (2011)"
0,"Everything I Can See From Here (2013)"
0.04,"Into the Forest of Fireflies' Light (2011)"
0.05,"Annie (2014)"
0,"Doggiewoggiez! Poochiewoochiez! (2012)"
0,"Castle of Blood (1964)"
0.14,"PK (2014)"
0,"The Devil's Widow (1970)"
0,"Mirage Men (2013)"
0,"Boats (2013)"
0.66,"Withnail & I (1987)"
0,"Final: The Rapture (2013)"
0.01,"Finders Keepers (2014)"
0,"Five Weeks in a Balloon (1962)"
0,"Flesh Wounds (2011)"
0,"Flipper's New Adventure (1964)"
0,"Flirtation Walk (1934)"
0,"Sansa (2003)"
0,"Follow the Boys (1963)"
0.01,"Foodfight! (2012)"
0,"Fools for Scandal (1938)"
0,"Forbidden (1953)"
0,"Forever Lulu (2000)"
0,"Forever Yours (1936)"
0,"Forget Me Not (2010)"
0,"Fort Massacre (1958)"
0,"Fort Worth (1951)"
0,"Shaka Zulu: The Citadel (2001)"
0,"Four Jills in a Jeep (1944)"
0,"Four Wives (1939)"
0,"Framed (1947)"
0,"Francis of Assisi (1961)"
0,"Frank & Jesse (1995)"
0,"Get Crazy (1983)"
0,"America: Imagine the World Without Her (2014)"
0,"Symphony of the Soil (2012)"
0.01,"Another Me (2013)"
0,"Bang Bang (1971)"
0,"Now You Know (2002)"
0,"Rocks in my Pockets (2014)"
0,"My Rainy Days (2009)"
0.01,"Bird People (2014)"
0.01,"It Felt Like Love (2013)"
0,"Eye for an Eye (1966)"
6.33,"12 Angry Men (1957)"
0.01,"Miss Granny (2014)"
0,"Next Time We Love (1936)"
0,"Intermezzo (1936)"
0,"Joy of Living (1938)"
0.01,"Drishyam (2013)"
0,"Otakus in Love (2004)"
0,"Gloriously Wasted (2012)"
0,"Thunderpants (2002)"
0,"That Man Bolt (1973)"
0,"Island of Terror (1966)"
0,"Moon Man (2012)"
0,"Five on the Black Hand Side (1973)"
0,"The Fountain (1989)"
0,"Foreign Exchange (2008)"
0,"FrackNation (2013)"
0,"Louis Cyr: The Strongest Man in the World (2013)"
0,"Natural Selection (2011)"
0.05,"Comet (2014)"
0,"Frayed (2007)"
0,"Free and Easy (1930)"
5.44,"Lawrence of Arabia (1962)"
0,"Free Ride (2013)"
0,"Friday Foster (1975)"
0,"From Above (2013)"
0.01,"From Time to Time (2009)"
0,"Front Page Woman (1935)"
0,"Futuresport (1998)"
0,"Gambling Lady (1934)"
0,"A Summer in St. Tropez (1983)"
0,"Gangland (2001)"
0,"Garbo Talks (1984)"
0,"Garfield Gets Real (2007)"
0,"Garfield's Fun Fest (2008)"
0,"George Lopez: America's Mexican (2007)"
0,"George Lopez: It's Not Me, It's You (2012)"
0,"George Lopez: Tall, Dark & Chicano (2009)"
0,"Geronimo (1962)"
0,"Get Out of My Room (1985)"
0,"Get Yourself a College Girl (1964)"
0,"Ghost Son (2007)"
0,"Ghost Team One (2013)"
0,"Ghosts of Goldfield (2007)"
0.01,"The Invisible Boy (2014)"
0,"The 11 Commandments (2004)"
0.94,"Chappie (2015)"
0.02,"Toy Story Toons: Partysaurus Rex (2012)"
0,"The Legend of Mor'du (2012)"
0.08,"Toy Story That Time Forgot (2014)"
0,"Implanted (2013)"
0.07,"The Salt of the Earth (2014)"
0,"No Retreat, No Surrender 2: Raging Thunder (1987)"
0,"Vincent: A Life in Color (2008)"
0,"Lille Fridolf and I (1956)"
0.01,"Daar (1993)"
0,"The Call of the Wild (1972)"
0,"Hotel Sahara (1951)"
0,"Double Confession (1950)"
0,"Three Men in a Boat (1956)"
0,"Across the Bridge (1957)"
0,"The Biggest Bundle of Them All (1968)"
0,"A Master Builder (2013)"
0,"The Snow White Murder Case (2014)"
0.01,"Gimme Shelter (2013)"
0,"Girl Happy (1965)"
0,"Big Shot: Confessions of a Campus Bookie (2002)"
0,"Girls Gone Dead (2012)"
0,"Go for It! (2011)"
0,"Going Hollywood (1933)"
0,"Harvest (2010)"
11.45,"Clockwork Orange, A (1971)"
0,"Zenobia (1939)"
0,"Zebra in the Kitchen (1965)"
0,"Jim Breuer: And Laughter for All (2013)"
0,"How to Eat Your Watermelon in White Company (and Enjoy It) (2005)"
0,"In Vogue: The Editor?s Eye (2012)"
0,"Savannah (2013)"
0,"3 Simoa (2012)"
0.06,"The Fool (2014)"
0,"The Disappeared (2008)"
0.01,"The Dark Matter of Love (2012)"
0,"Out of the Clear Blue Sky (2012)"
0,"The Call of the Wild (1976)"
0.42,"Taken 3 (2015)"
0.11,"Blackhat (2015)"
0.01,"Tiger Eyes (2012)"
0,"Santa Fe (1951)"
6.35,"To Kill a Mockingbird (1962)"
0,"Memed My Hawk (1984)"
0,"Mexican Spitfire Out West (1940)"
0,"City Cops (1989)"
0,"Miami Exposé (1956)"
0,"Beck - Rum 302 (2015)"
0,"Odd Girl Out (2005)"
0,"By the Law (1926)"
0,"Queen Sized (2008)"
0,"Tru Confessions (2002)"
0,"All the Fine Young Cannibals (1960)"
0,"Headfirst (2014)"
0,"Eila, Rampe and Likka (2014)"
0,"Lady Liberty (1971)"
0,"Night Train (1959)"
0,"Somersault (1965)"
0,"Korso (2014)"
0,"Nocturna (2007)"
0.03,"Son of a Gun (2014)"
0,"Grass: A Nation's Battle for Life (1925)"
0,"City in the Sea (1965)"
0,"Naughty Girl (1956)"
0,"The Vixen (1969)"
0.01,"The Big Shave (1968)"
0,"What's a Nice Girl Like You Doing in a Place Like This? (1963)"
0.74,"Terminator Genisys (2015)"
10.23,"Apocalypse Now (1979)"
0,"Bad Day on the Block (1997)"
0,"Those Awful Hats (1909)"
0.01,"Robin Williams: Weapons of Self Destruction (2009)"
0.1,"John Mulaney: New In Town (2012)"
0,"Come Dance with Me! (1959)"
0.01,"Patton Oswalt: Finest Hour (2011)"
0.03,"Patton Oswalt: My Weakness Is Strong (2009)"
0.02,"Patton Oswalt: Werewolves and Lollipops (2007)"
0,"Kevin Nealon: Now Hear Me Out! (2009)"
0,"Kevin Nealon: Whelmed, But Not Overly (2012)"
0,"The War at Home (1979)"
0,"One Bright Shining Moment (2005)"
0.06,"The Woman in Black 2: Angel of Death (2015)"
0.02,"The Hound of the Baskervilles (1988)"
0,"Scattered Clouds (Midaregumo) (1967)"
0,"Dealin' with Idiots (2013)"
0,"Super Capers (2009)"
0.01,"Fight for Your Right Revisited (2011)"
0,"Busting (1974)"
0,"Comes a Bright Day (2012)"
0,"Frankenstein (2004)"
0,"North and South, Book II (1986)"
0,"Penthouse North (2013)"
0,"Johan Falk: GSI (2009)"
0,"Johan Falk: Brothers in Arms (2009)"
0,"Cheeky Girls (2008)"
0.02,"Fresh Guacamole (2012)"
0,"Adam and Dog (2012)"
0,"Bloodsuckers (2005)"
0,"Poolsite (2012)"
0,"Animal (1977)"
0.03,"Doodlebug (1997)"
0,"Jean-Luc Cinema Godard (2009)"
0,"Tropico (2013)"
0.01,"Employees Leaving the Lumière Factory (1895)"
0,"A Night at the Movies: The Horrors of Stephen King (2011)"
0,"A Night at the Movies: The Suspenseful World of Thrillers (2009)"
0,"White, Red and Verdone (1981)"
0,"Talcum Powder (1982)"
0,"Soap and Water (1983)"
0,"The Two Policemen (1984)"
0,"Great! (1986)"
0,"Me and My Sister (1987)"
0,"Classmates (1988)"
0,"The Child and the Policeman (1989)"
0,"Damned the Day I Met You (1992)"
0,"Let's Not Keep in Touch! (1994)"
0,"Honeymoons (1995)"
2.1,"Once Upon a Time in the West (C'era una volta il West) (1968)"
0,"I'm Crazy About Iris Blond (1996)"
0,"Grouse (1998)"
0,"A Chinese in a Coma (2000)"
0,"Love is Eternal While It Lasts (2004)"
0,"What Fault Is It of Ours? (2003)"
0,"My Best Enemy (2006)"
0,"Big, Large and Verdone (2008)"
0,"A Flat for Three (2012)"
0.01,"Man on High Heels (2014)"
0,"Miss Zombie (2013)"
0,"Under a Lucky Star (2014)"
0,"Shinbone Alley (1970)"
0,"Lullaby (2014)"
0,"Over Your Dead Body (2014)"
0,"A Walk in the Old City of Warsaw (1958)"
0.01,"Korengal (2014)"
0.01,"The Hire: Powder Keg (2001)"
0.01,"The Hire: Chosen (2001)"
0.01,"The Hire: Ambush (2001)"
0.01,"The Hire: Ticker (2002)"
0.01,"The Hire: Beat the Devil (2002)"
0.01,"The Hire: Hostage (2002)"
0,"Pancho, the Millionaire Dog (2014)"
0,"The Reef 2: High Tide (2012)"
0,"Filly Brown (2012)"
0.3,"Boys of St. Vincent, The (1992)"
23.31,"Star Wars: Episode VI - Return of the Jedi (1983)"
0,"Winter of Discontent (2012)"
0,"The Nautical Chart (2007)"
0,"Space Buddies (2009)"
0,"All Relative (2014)"
0,"The Body of My Enemy (1976)"
0,"Pasha (1968)"
0,"The Gentleman from Epsom (1962)"
0,"The Great Spy Chase (1964)"
0,"Taxi for Tobruk (1961)"
0.01,"Viy (2014)"
0,"Excuse Me Darling, But Lucas Loved Me (1997)"
0,"Stay (2013)"
0,"No Distance Left to Run (2010)"
0,"Santos (2008)"
0,"A Patriotic Man (2013)"
0.02,"Houdini (2014)"
0,"A Night for Dying Tigers (2010)"
0,"June Night (1940)"
0,"Fear (1954)"
0,"Hedda Gabler (1963)"
0,"A Matter of Time (1976)"
0,"Angele (1934)"
0,"Harvest (1937)"
0,"The Well-Digger's Daughter (1940)"
0,"Manon of the Spring (1952)"
0,"The House on 56th Street (1933)"
0,"Daughter of Shanghai (1937)"
0,"Meet Boston Blackie (1941)"
0,"Dangerously They Live (1941)"
0,"Lady Gangster (1942)"
0,"God is My Co-Pilot (1945)"
0,"Danger Signal (1945)"
0,"Tarzan and the Mermaids (1948)"
0,"The Crooked Way (1949)"
0,"The Color of Rain (2014)"
0,"To Grandmother's House We Go (1992)"
0.03,"101 Dalmatians II: Patch's London Adventure (2003)"
1.48,"Wings of Desire (Himmel über Berlin, Der) (1987)"
0,"Riptide (1949)"
0.01,"Justin Bieber: Never Say Never (2011)"
0.01,"Van Wilder: Freshman Year (2009)"
0.02,"V (1983)"
0.01,"Shriek If You Know What I Did Last Friday the Thirteenth (2000)"
0.01,"Tarzan (2013)"
0.01,"Highlander: The Source (2007)"
0.01,"North and South, Book I (1985)"
0.01,"Seed (2006)"
0,"StreetDance 2 (2012)"
0.01,"The Car (1977)"
0.02,"The Hungover Games (2014)"
0.01,"Ishq (1997)"
0.02,"Nurse 3D (2013)"
0.01,"Wrong Turn 5: Bloodlines (2012)"
0,"How the West Was Fun (1994)"
0,"A Cry in the Wild (1990)"
0.01,"Flu (2013)"
0,"McCullin (2012)"
0.01,"The Fox & the Child (2007)"
0,"Lili's Apron (2004)"
0,"The White Haired Witch of Lunar Kingdom (2014)"
0.02,"Kevin Hart: Let Me Explain (2013)"
0.01,"Tad, the Lost Explorer (2012)"
0.01,"V: The Final Battle (1984)"
0,"Tactical Force (2011)"
0,"Shark Attack 3: Megalodon (2002)"
0.01,"Prowl (2010)"
0.03,"The Duke of Burgundy (2014)"
0.04,"Red Army (2014)"
0,"Must Have Been Love (2012)"
0.01,"Shortcut to Happiness (2003)"
0,"Java Heat (2013)"
0,"The Sasquatch Gang (2006)"
0,"Peeples (2013)"
0.01,"Save the Last Dance 2 (2006)"
0.01,"The Skeptic (2009)"
0,"Room 6 (2006)"
0.02,"When in Rome (2002)"
0,"The Expelled (2010)"
0.01,"Tyler Perry's The Single Moms Club (2014)"
0.01,"Nothing Left to Fear (2013)"
0,"Lake Dead (2007)"
2.82,"Third Man, The (1949)"
0.01,"Hansel & Gretel (2007)"
0,"Nine Lives (2002)"
0,"The Power of Few (2013)"
0,"Unearthed (2007)"
0,"Major Movie Star (2008)"
0,"Gun (2010)"
0,"Rest Stop: Don't Look Back (2008)"
0,"Sabata (1969)"
0,"The Reunion (2011)"
0.01,"I Am Ali (2014)"
0.01,"Supermensch: The Legend of Shep Gordon (2013)"
0,"Lady Cocoa (1975)"
0.69,"It Follows (2014)"
0.02,"The Anomaly (2014)"
0,"Sinbad: The Fifth Voyage (2014)"
0,"A Life in Dirty Movies (2013)"
0.01,"Sweeney Todd: The Demon Barber of Fleet Street (1982)"
0.01,"Touchback (2011)"
0,"Unit 7 (2012)"
0.01,"Wishmaster 3: Beyond the Gates of Hell (2001)"
0,"The Magical Legend of the Leprechauns (1999)"
0,"Thunderstruck (2012)"
0.03,"The Town that Dreaded Sundown (2014)"
0.01,"White Elephant (2012)"
0,"The Alternate (2012)"
0,"The Tattooist (2007)"
0,"Leprechaun: Back 2 Tha Hood (2003)"
0,"Summer's Moon (2009)"
0,"The Stranger (2010)"
0,"No Man's Land: The Rise of Reeker (2008)"
0.01,"The Shortcut (2009)"
0,"Sometimes They Come Back... Again (1996)"
0,"The Dentist 2 (1998)"
0,"Highway to Hell (1991)"
0,"U.F.O. (2012)"
0.01,"Little Lord Fauntleroy (1980)"
0,"Horror on Snape Island (1972)"
0.01,"The Six Wives of Henry Lefay (2009)"
0,"Swinging with the Finkels (2011)"
0,"Man Exposed (2006)"
0,"All Fall Down (1962)"
0,"Over My Dead Body (1995)"
12.69,"Goodfellas (1990)"
0,"Run If You Can (2010)"
0.01,"Someone's Gaze (2013)"
0,"Time Freak (2011)"
0,"Above Us Only Sky (2011)"
0.01,"Goodbye to Language 3D (2014)"
0,"The Perfect World of Kai (2007)"
0,"Planet of Dinosaurs (1977)"
0.01,"The Berlin File (2013)"
0,"The Attorney (2013)"
0,"The Hatchet Man (1932)"
0,"The Final Girl (2010)"
0,"Dot and the Whale (1986)"
0,"The Blood of Fu Manchu (1968)"
0,"All Things Fall Apart (2011)"
0.01,"Altitude (2010)"
0,"Carry on Cabby (1963)"
0,"Carry on Behind (1975)"
0,"Carry on Cruising (1962)"
0,"Che! (1969)"
0,"China Girl (1987)"
0,"Cops and Robbers (1973)"
0,"Never a Dull Moment (1968)"
0,"Cyrus: Mind of a Serial Killer (2010)"
0,"Oviri (1986)"
0,"Memories of My Melancholy Whores (2011)"
0.01,"Get a Horse! (2013)"
0,"Gidget Goes to Rome (1963)"
0.01,"Happy New Year (2014)"
0.05,"Bill Burr: Let It Go (2010)"
0.04,"Bill Burr: Why Do I Do This? (2008)"
0,"His Way (2011)"
0,"Into the Sun (1992)"
0,"Jack the Giant Killer (2013)"
0,"Lost Boundaries (1949)"
0,"Ash Wednesday (1973)"
13.87,"Alien (1979)"
0,"Elvis and Me (1988)"
0,"Wired (1989)"
0,"Child of Rage (1992)"
0,"Christmas Every Day (1996)"
0.01,"Picture This (2008)"
0,"Going Straight (1916)"
0,"Scorned (1994)"
0,"Mardi Gras: Spring Break (2011)"
0,"The Face of Marble (1946)"
0,"The Horsemen (1971)"
0,"The Man Who Shook the Hand of Vicente Fernandez (2012)"
0,"The Squeeze (1987)"
0,"The Squeeze (1978)"
0,"Young Billy Young (1969)"
0,"Journey to the End of the Night (2006)"
0,"The Bride (1985)"
0,"Wishmaster 4: The Prophecy Fulfilled (2002)"
0,"Will (2012)"
0.01,"Lizzie Borden Took an Ax (2014)"
0,"Tim (1979)"
0.01,"Switching Goals (1999)"
0,"Wrong Side of Town (2010)"
0,"Snowboard Academy (1996)"
0,"The End (2012)"
0,"The White Buffalo (1977)"
0,"Shark Attack (1999)"
0,"Killer Movie (2008)"
0,"Operation Delta Force 3: Clear Target (1999)"
0,"Sex and the Single Girl (1964)"
0,"The Wizard of Gore (2007)"
0,"Python (2000)"
0,"No Thank You (2014)"
0,"Grave Halloween (2013)"
0.01,"At the Devil's Door (2014)"
0,"Reaching for the Moon (2013)"
0,"Beneath the Harvest Sky (2013)"
0,"Hotel Very Welcome (2007)"
0,"Off Beat (2004)"
0,"Love, Money, Love (2000)"
0,"Garbage Prince (2011)"
5.1,"Army of Darkness (1993)"
0,"Ator the Iron Warrior (1987)"
0,"Beast in Space (1980)"
0,"Star Odyssey (1979)"
0,"The New Godfathers (1979)"
0,"Battle of the Stars (1978)"
0,"The Last Thug (1978)"
0,"Naples Serenade Caliber 9 (1978)"
0,"War of the Planets (1977)"
0,"The Weight of Elephants (2013)"
0,"White Fang and the Hunter (1975)"
0,"Lisztomania (1975)"
0,"Super Stooges vs the Wonder Women (1974)"
0,"Battle of the Amazons (1973)"
0,"A Suitcase for a Corpse (1970)"
0,"The Magnificent Gladiator (1964)"
0,"Rattlers (1976)"
0,"Blablablá (1975)"
0.01,"The Uninvited Guest (2004)"
0,"Paradise (2013)"
0,"The (Dead Mothers) Club (2014)"
0,"Confessor Caressor (1989)"
0,"The Studio Murder Mystery (1932)"
0,"Midnight Mary (1933)"
0,"Born to Fight (2011)"
0,"Goofy Movies Number One (1933)"
0.71,"Big Blue, The (Grand bleu, Le) (1988)"
0,"Bosko's Parlor Pranks (1934)"
0,"What Katy Did (1999)"
0,"Trapped in the Closet: Chapters 23-33 (2012)"
0,"Three Brave Men (1956)"
0,"The Great Gatsby (1926)"
0,"Open Heart (2013)"
0,"The Loyal 47 Ronin (1958)"
0,"This Side of the Law (1950)"
0,"The Spiritual Boxer (1975)"
0,"Whiskers (1997)"
0,"Lily Dale (1996)"
0,"Katt Williams: Priceless: Afterlife (2014)"
2.01,"Ran (1985)"
0,"Take a Giant Step (1959)"
0,"Rat Race (1980)"
0,"Pets (1974)"
0,"Swedenhielms Family (1935)"
0,"Sebastian Maniscalco: What's Wrong with People? (2012)"
0,"Samurai Vendetta (1959)"
0,"The Shanghai Chest (1948)"
0,"Newcastle (2008)"
0,"Mr. Denning Drives North (1952)"
0,"The Cheat (1950)"
0,"Twist of Fate (1954)"
0,"Twelve Thirty (2010)"
0,"Without Lying Down: Frances Marion and the Power of Women in Hollywood (2000)"
0,"Skateland (2010)"
0.01,"Stuart Little 3: Call of the Wild (2005)"
0,"The Depraved (2011)"
0,"The Substitute 2: School's Out (1998)"
0.01,"Shadow People (2013)"
0.01,"Seventh Moon (2008)"
0,"Snow Queen (2002)"
0,"Sacrifice (2011)"
0,"The Old Maid (1939)"
0,"Maniac Cop 3: Badge of Silence (1993)"
1.09,"Killer, The (Die xue shuang xiong) (1989)"
0,"Step by Step (1946)"
0,"The Getaway (1941)"
0,"Hate Thy Neighbor (1968)"
0,"Pink Saris (2010)"
0,"Richness of Internal Space (2012)"
0,"Witch's Night Out (1978)"
0,"Kings Point (2012)"
0,"The Seventh Sin (1957)"
0,"The Green Hornet (1974)"
0,"Mantle (2005)"
0,"Long Day's Journey Into Night (1987)"
0,"Too Tough to Die: A Tribute to Johnny Ramone (2006)"
0,"The Formula (2014)"
0,"Without Pity (1948)"
0,"Where Do We Go from Here? (1945)"
0,"The Man in Possession (1931)"
0,"Two Loves (1961)"
0,"Method to the Madness of Jerry Lewis (2011)"
0,"The Housekeeper's Daughter (1939)"
0,"The Innocents (1987)"
8.56,"Psycho (1960)"
0,"Lady Scarface (1941)"
0,"Mine Own Executioner (1947)"
0,"Mexican Spitfire (1940)"
0,"The Green Years (1963)"
0,"The Good Mother (2013)"
0,"The Arnelo Affair (1947)"
0,"The Beat Generation (1959)"
0,"San Quentin (1946)"
0,"Kenny Rogers as The Gambler, Part III: The Legend Continues (1987)"
0,"Pretty Baby (1950)"
0,"Johnny Allegro (1949)"
0,"Walk a Crooked Mile (1948)"
0,"Haunting of the Innocent (2014)"
0,"Tender Scoundrel (1966)"
0,"The Kill Hole (2012)"
0,"Princess and the Pony (2011)"
0,"Wicked as They Come (1956)"
0,"The Littlest Angel (2011)"
0,"The People vs. Dr. Kildare (1941)"
1.45,"Boomerang (1992)"
8.18,"Blues Brothers, The (1980)"
0,"The Horror of It All (1964)"
0,"The King and the Chorus Girl (1937)"
0,"Loose Ankles (1930)"
0,"Sergio (2009)"
0,"Two is a Happy Number (1972)"
0,"Sacred Planet (2004)"
0,"Somewhere Tonight (2011)"
0,"Roman Polanski: Odd Man Out (2012)"
0,"The Hound of the Baskervilles (2002)"
0.01,"Psych:9 (2010)"
0,"Her Best Move (2007)"
0,"Tarzan and the Amazons (1945)"
0,"The Bone Snatcher (2003)"
0,"Snow Buddies (2008)"
0.01,"Trust Me (2013)"
0,"The Haunting Hour: Don't Think About It (2007)"
0,"The Time of Their Lives (1946)"
0.01,"The Message (2009)"
0.01,"The Gene Generation (2007)"
0,"The Old Maid (1972)"
0,"School for All (2006)"
0,"The Elephant Man (1982)"
0,"No Questions Asked (1951)"
0,"Last Sunset (2006)"
0,"Riffraff (1947)"
0,"On the Inside (2011)"
0,"Solomon and Sheba (1959)"
0,"The Heavy (2010)"
0,"Water (1985)"
0,"Ground Control (1998)"
0,"Guy X (2005)"
0,"Perkins' 14 (2009)"
0,"Tell Them Willie Boy is Here (1969)"
0,"The Hunters (2011)"
13.73,"Godfather: Part II, The (1974)"
0,"The Sea Chase (1955)"
0,"Incubus (2006)"
0.02,"Kevin Hart: Seriously Funny (2010)"
0,"The Reptile (1966)"
0,"Winnetou: The Red Gentleman (1964)"
0,"One Husband Too Many (2010)"
0.01,"Scooby-Doo! Camp Scare (2010)"
0,"Half of a Yellow Sun (2013)"
0,"Hey There, It's Yogi Bear (1964)"
0,"Top Sensation (1969)"
0,"The Sweet Body of Deborah (1968)"
0,"So Sweet... So Perverse (1969)"
0,"Men to Kiss (2012)"
0,"Little Fridolf Becomes a Grandfather (1957)"
0,"Beck - Familjen (2015)"
0,"Weary River (1929)"
0,"The Affairs of Martha (1942)"
0,"Night and Day (1991)"
0,"Three Night Stand (2013)"
0,"Slander (1957)"
0,"The Sun Comes Up (1949)"
0,"The Hangman (1959)"
0,"Beyond the Walls (1984)"
0,"Paradise for Three (1938)"
0,"The Feathered Serpent (1948)"
9.82,"Full Metal Jacket (1987)"
0,"You're Only Young Once (1937)"
0,"In His Father's Shoes (1997)"
0,"Jim Norton: Please Be Offended (2012)"
0,"The Secret of Dr. Kildare (1939)"
0,"The Man Without a Map (1968)"
0,"The Bride Goes Wild (1948)"
0,"PT 109 (1963)"
0,"Noah's Ark (1999)"
0,"Pumpkinhead: Ashes to Ashes (2006)"
0,"The Lookout (2012)"
0,"When a Stranger Calls Back (1993)"
0,"Mister Magoo's Christmas Carol (1962)"
0,"Ritual (2012)"
0,"Master of the World (1961)"
0.01,"Tooth Fairy 2 (2012)"
0,"Tarzan and the Huntress (1947)"
0,"In Name Only (1939)"
0,"Love's Kitchen (2011)"
0,"Stay Away, Joe (1968)"
0,"They Call Me Renegade (1987)"
0.01,"The Diary of Anne Frank (2009)"
0,"Wishcraft (2002)"
0,"Knights (1993)"
0,"The Chatterley Affair (2006)"
0,"Fanny Hill (2007)"
0,"The Suspicions of Mr. Whicher: The Murder at Road Hill House (2011)"
0,"The Last Wagon (1956)"
0,"Pumpkinhead IV: Blood Feud (2007)"
0,"The Philly Kid (2012)"
0,"Ping Pong Summer (2014)"
0,"Sabretooth (2002)"
0.01,"Pride and Prejudice (1980)"
0,"Sometimes They Come Back... for More (1998)"
0,"Kid Galahad (1962)"
0.01,"The Captains (2011)"
0,"Homeboy (1988)"
0.01,"Merlin's Apprentice (2006)"
0,"The Siege of Firebase Gloria (1989)"
0,"The Bumblebee Flies Anyway (1999)"
0,"The Treasure of the Living Dead (1982)"
3.25,"Grand Day Out with Wallace and Gromit, A (1989)"
